CIVILSTAND;ALDER;TID;INDHOLD
Gift/separeret;I alt;2020K1;2146017
Gift/separeret;0 år;2020K1;0
Gift/separeret;1 år;2020K1;0
Gift/separeret;2 år;2020K1;0
Gift/separeret;3 år;2020K1;0
Gift/separeret;4 år;2020K1;0
Gift/separeret;5 år;2020K1;0
Gift/separeret;6 år;2020K1;0
Gift/separeret;7 år;2020K1;0
Gift/separeret;8 år;2020K1;0
Gift/separeret;9 år;2020K1;0
Gift/separeret;10 år;2020K1;0
Gift/separeret;11 år;2020K1;0
Gift/separeret;12 år;2020K1;0
Gift/separeret;13 år;2020K1;0
Gift/separeret;14 år;2020K1;0
Gift/separeret;15 år;2020K1;0
Gift/separeret;16 år;2020K1;0
Gift/separeret;17 år;2020K1;0
Gift/separeret;18 år;2020K1;22
Gift/separeret;19 år;2020K1;115
Gift/separeret;20 år;2020K1;281
Gift/separeret;21 år;2020K1;664
Gift/separeret;22 år;2020K1;1258
Gift/separeret;23 år;2020K1;2114
Gift/separeret;24 år;2020K1;3646
Gift/separeret;25 år;2020K1;5721
Gift/separeret;26 år;2020K1;8353
Gift/separeret;27 år;2020K1;11834
Gift/separeret;28 år;2020K1;14949
Gift/separeret;29 år;2020K1;18836
Gift/separeret;30 år;2020K1;22174
Gift/separeret;31 år;2020K1;25138
Gift/separeret;32 år;2020K1;27131
Gift/separeret;33 år;2020K1;28994
Gift/separeret;34 år;2020K1;30281
Gift/separeret;35 år;2020K1;30981
Gift/separeret;36 år;2020K1;31663
Gift/separeret;37 år;2020K1;33571
Gift/separeret;38 år;2020K1;34543
Gift/separeret;39 år;2020K1;37175
Gift/separeret;40 år;2020K1;38605
Gift/separeret;41 år;2020K1;39838
Gift/separeret;42 år;2020K1;40059
Gift/separeret;43 år;2020K1;41543
Gift/separeret;44 år;2020K1;45030
Gift/separeret;45 år;2020K1;44617
Gift/separeret;46 år;2020K1;44018
Gift/separeret;47 år;2020K1;46264
Gift/separeret;48 år;2020K1;45846
Gift/separeret;49 år;2020K1;43787
Gift/separeret;50 år;2020K1;43754
Gift/separeret;51 år;2020K1;45259
Gift/separeret;52 år;2020K1;48008
Gift/separeret;53 år;2020K1;51658
Gift/separeret;54 år;2020K1;50227
Gift/separeret;55 år;2020K1;49022
Gift/separeret;56 år;2020K1;48175
Gift/separeret;57 år;2020K1;45683
Gift/separeret;58 år;2020K1;44732
Gift/separeret;59 år;2020K1;44628
Gift/separeret;60 år;2020K1;43270
Gift/separeret;61 år;2020K1;43537
Gift/separeret;62 år;2020K1;43164
Gift/separeret;63 år;2020K1;43623
Gift/separeret;64 år;2020K1;42642
Gift/separeret;65 år;2020K1;41649
Gift/separeret;66 år;2020K1;42260
Gift/separeret;67 år;2020K1;41108
Gift/separeret;68 år;2020K1;40152
Gift/separeret;69 år;2020K1;40767
Gift/separeret;70 år;2020K1;40217
Gift/separeret;71 år;2020K1;41737
Gift/separeret;72 år;2020K1;43342
Gift/separeret;73 år;2020K1;43481
Gift/separeret;74 år;2020K1;40477
Gift/separeret;75 år;2020K1;36323
Gift/separeret;76 år;2020K1;31631
Gift/separeret;77 år;2020K1;28282
Gift/separeret;78 år;2020K1;23509
Gift/separeret;79 år;2020K1;21114
Gift/separeret;80 år;2020K1;18436
Gift/separeret;81 år;2020K1;16566
Gift/separeret;82 år;2020K1;14135
Gift/separeret;83 år;2020K1;11892
Gift/separeret;84 år;2020K1;9559
Gift/separeret;85 år;2020K1;7791
Gift/separeret;86 år;2020K1;6301
Gift/separeret;87 år;2020K1;4885
Gift/separeret;88 år;2020K1;3897
Gift/separeret;89 år;2020K1;2934
Gift/separeret;90 år;2020K1;2198
Gift/separeret;91 år;2020K1;1689
Gift/separeret;92 år;2020K1;1174
Gift/separeret;93 år;2020K1;837
Gift/separeret;94 år;2020K1;527
Gift/separeret;95 år;2020K1;303
Gift/separeret;96 år;2020K1;171
Gift/separeret;97 år;2020K1;110
Gift/separeret;98 år;2020K1;51
Gift/separeret;99 år;2020K1;40
Gift/separeret;100 år;2020K1;18
Gift/separeret;101 år;2020K1;13
Gift/separeret;102 år;2020K1;4
Gift/separeret;103 år;2020K1;3
Gift/separeret;104 år;2020K1;0
Gift/separeret;105 år;2020K1;0
Gift/separeret;106 år;2020K1;1
Gift/separeret;107 år;2020K1;0
Gift/separeret;108 år;2020K1;0
Gift/separeret;109 år;2020K1;0
Gift/separeret;110 år;2020K1;0
Gift/separeret;111 år;2020K1;0
Gift/separeret;112 år;2020K1;0
Gift/separeret;113 år;2020K1;0
Gift/separeret;114 år;2020K1;0
Gift/separeret;115 år;2020K1;0
Gift/separeret;116 år;2020K1;0
Gift/separeret;117 år;2020K1;0
Gift/separeret;118 år;2020K1;0
Gift/separeret;119 år;2020K1;0
Gift/separeret;120 år;2020K1;0
Gift/separeret;121 år;2020K1;0
Gift/separeret;122 år;2020K1;0
Gift/separeret;123 år;2020K1;0
Gift/separeret;124 år;2020K1;0
Gift/separeret;125 år;2020K1;0
Ugift;I alt;2020K1;2844060
Ugift;0 år;2020K1;61466
Ugift;1 år;2020K1;61916
Ugift;2 år;2020K1;62148
Ugift;3 år;2020K1;62697
Ugift;4 år;2020K1;59661
Ugift;5 år;2020K1;58993
Ugift;6 år;2020K1;58415
Ugift;7 år;2020K1;60745
Ugift;8 år;2020K1;61926
Ugift;9 år;2020K1;66522
Ugift;10 år;2020K1;66254
Ugift;11 år;2020K1;68649
Ugift;12 år;2020K1;67673
Ugift;13 år;2020K1;68523
Ugift;14 år;2020K1;67530
Ugift;15 år;2020K1;67768
Ugift;16 år;2020K1;67948
Ugift;17 år;2020K1;67304
Ugift;18 år;2020K1;68617
Ugift;19 år;2020K1;71504
Ugift;20 år;2020K1;71833
Ugift;21 år;2020K1;73207
Ugift;22 år;2020K1;75122
Ugift;23 år;2020K1;75745
Ugift;24 år;2020K1;77467
Ugift;25 år;2020K1;76345
Ugift;26 år;2020K1;71228
Ugift;27 år;2020K1;68537
Ugift;28 år;2020K1;62475
Ugift;29 år;2020K1;58328
Ugift;30 år;2020K1;52300
Ugift;31 år;2020K1;46450
Ugift;32 år;2020K1;40898
Ugift;33 år;2020K1;37539
Ugift;34 år;2020K1;34180
Ugift;35 år;2020K1;30423
Ugift;36 år;2020K1;27835
Ugift;37 år;2020K1;26510
Ugift;38 år;2020K1;24551
Ugift;39 år;2020K1;24424
Ugift;40 år;2020K1;23254
Ugift;41 år;2020K1;22456
Ugift;42 år;2020K1;21067
Ugift;43 år;2020K1;21017
Ugift;44 år;2020K1;21776
Ugift;45 år;2020K1;20381
Ugift;46 år;2020K1;19715
Ugift;47 år;2020K1;19645
Ugift;48 år;2020K1;18729
Ugift;49 år;2020K1;17145
Ugift;50 år;2020K1;16695
Ugift;51 år;2020K1;16658
Ugift;52 år;2020K1;17448
Ugift;53 år;2020K1;17965
Ugift;54 år;2020K1;16784
Ugift;55 år;2020K1;16170
Ugift;56 år;2020K1;15431
Ugift;57 år;2020K1;13820
Ugift;58 år;2020K1;13024
Ugift;59 år;2020K1;12441
Ugift;60 år;2020K1;11437
Ugift;61 år;2020K1;11026
Ugift;62 år;2020K1;10442
Ugift;63 år;2020K1;9790
Ugift;64 år;2020K1;9143
Ugift;65 år;2020K1;8271
Ugift;66 år;2020K1;7794
Ugift;67 år;2020K1;7008
Ugift;68 år;2020K1;6264
Ugift;69 år;2020K1;5745
Ugift;70 år;2020K1;5024
Ugift;71 år;2020K1;4703
Ugift;72 år;2020K1;4456
Ugift;73 år;2020K1;4106
Ugift;74 år;2020K1;3491
Ugift;75 år;2020K1;3078
Ugift;76 år;2020K1;2606
Ugift;77 år;2020K1;2139
Ugift;78 år;2020K1;1774
Ugift;79 år;2020K1;1614
Ugift;80 år;2020K1;1461
Ugift;81 år;2020K1;1350
Ugift;82 år;2020K1;1175
Ugift;83 år;2020K1;1022
Ugift;84 år;2020K1;919
Ugift;85 år;2020K1;771
Ugift;86 år;2020K1;693
Ugift;87 år;2020K1;602
Ugift;88 år;2020K1;545
Ugift;89 år;2020K1;490
Ugift;90 år;2020K1;391
Ugift;91 år;2020K1;340
Ugift;92 år;2020K1;268
Ugift;93 år;2020K1;213
Ugift;94 år;2020K1;187
Ugift;95 år;2020K1;142
Ugift;96 år;2020K1;90
Ugift;97 år;2020K1;63
Ugift;98 år;2020K1;66
Ugift;99 år;2020K1;41
Ugift;100 år;2020K1;12
Ugift;101 år;2020K1;13
Ugift;102 år;2020K1;8
Ugift;103 år;2020K1;4
Ugift;104 år;2020K1;3
Ugift;105 år;2020K1;2
Ugift;106 år;2020K1;0
Ugift;107 år;2020K1;1
Ugift;108 år;2020K1;0
Ugift;109 år;2020K1;0
Ugift;110 år;2020K1;0
Ugift;111 år;2020K1;0
Ugift;112 år;2020K1;0
Ugift;113 år;2020K1;0
Ugift;114 år;2020K1;0
Ugift;115 år;2020K1;0
Ugift;116 år;2020K1;0
Ugift;117 år;2020K1;0
Ugift;118 år;2020K1;0
Ugift;119 år;2020K1;0
Ugift;120 år;2020K1;0
Ugift;121 år;2020K1;0
Ugift;122 år;2020K1;0
Ugift;123 år;2020K1;0
Ugift;124 år;2020K1;0
Ugift;125 år;2020K1;0
